_id,attribute_text,company_name,companyind_text,companysize_text,job_href,job_name,jobwelf,providesalary_text,updatedate
61c048af4de410b1db824fd2,武汉-硚口区2年经验大专招2人,香格里拉资源共享服务（武汉）有限公司,会计/审计,150-500人,https://jobs.51job.com/wuhan-qkq/131264625.html?s=sou_sou_soulb&t=0_0,VBA 宏工具 工程师,五险一金 餐饮补贴 年终奖金 员工旅游 定期体检 专业培训 弹性工作,7-9千/月,12-20
61c048af4de410b1db824fd3,上海-浦东新区10年以上经验本科招若干人,上海启迪睿视智能科技有限公司,电子技术/半导体/集成电路,50-150人,https://jobs.51job.com/shanghai-pdxq/134107943.html?s=sou_sou_soulb&t=0_0,资深云开发工程师,五险一金 补充医疗保险 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 定期体检,30-60万/年,12-20
61c048af4de410b1db824fd4,武汉-洪山区5-7年经验大专招若干人,深圳市伊登软件有限公司,计算机软件,150-500人,https://jobs.51job.com/wuhan-hsq/136864838.html?s=sou_sou_soulb&t=0_0,中高级Java开发工程师,做五休二 带薪年假 五险一金 节日福利 绩效奖金,1.5-2万/月,12-20
61c048af4de410b1db824fd5,上海1年经验本科招1人,上海蓝灯数据科技股份有限公司,计算机软件,50-150人,https://jobs.51job.com/shanghai/136590588.html?s=sou_sou_soulb&t=0_0,数据治理工程师,五险一金 补充医疗保险 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,1.8-2.2万/月,12-20
61c048af4de410b1db824fd6,东莞-松山湖区3-4年经验大专招10人,中南国际人力资源（深圳）有限公司,专业服务(咨询、人力资源、财会),10000人以上,https://jobs.51job.com/dongguan-sshq/135512874.html?s=sou_sou_soulb&t=0_0,Python开发工程师,五险一金 免费班车 专业培训 绩效奖金 年终奖金 定期体检,1.5-2万/月,12-20
61c048af4de410b1db824fd7,上海-浦东新区3-4年经验本科招若干人,维世致新（上海）智能技术有限公司,计算机软件,50-150人,https://jobs.51job.com/shanghai-pdxq/131599588.html?s=sou_sou_soulb&t=0_0,Java工程师,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 定期体检,1.5-2.5万/月,12-20
61c048af4de410b1db824fd8,深圳-南山区3-4年经验本科招8人,深圳市天彦通信股份有限公司,通信/电信/网络设备,150-500人,https://jobs.51job.com/shenzhen-nsq/99799057.html?s=sou_sou_soulb&t=0_0,Java后台开发工程师,五险一金 补充公积金 员工旅游 专业培训 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,1.5-2.5万/月,12-20
61c048af4de410b1db824fd9,上海-长宁区3-4年经验本科招1人,好人生管理咨询（上海）有限公司,医疗/护理/卫生,50-150人,https://jobs.51job.com/shanghai-cnq/123056469.html?s=sou_sou_soulb&t=0_0,架构师,定期体检 节日福利 周末双休 EAP服务 带薪年假 绩效奖金 五险一金 商业保险 全勤奖,2.5-3万/月,12-20
61c048af4de410b1db824fda,成都-武侯区3-4年经验大专招1人,四川科瑞德制药股份有限公司,制药/生物工程,1000-5000人,https://jobs.51job.com/chengdu-whq/137031371.html?s=sou_sou_soulb&t=0_0,Java开发工程师,五险一金 年终奖金 弹性工作 补充医疗保险 交通补贴 通讯补贴 专业培训 绩效奖金 定期体检,0.8-1.5万/月,12-20
61c048af4de410b1db824fdb,青岛-黄岛区3-4年经验本科招2人,北斗天地股份有限公司,计算机服务(系统、数据服务、维修),150-500人,https://jobs.51job.com/qingdao-hdq/129594734.html?s=sou_sou_soulb&t=0_0,数据开发工程师,,1-1.5万/月,12-20
61c048af4de410b1db824fdc,南京-江宁区3-4年经验大专招2人,南京金斯瑞生物科技有限公司,制药/生物工程,1000-5000人,https://jobs.51job.com/nanjing-jnq/136926977.html?s=sou_sou_soulb&t=0_0,数据开发工程师,五险一金 免费班车 交通补贴 餐饮补贴 专业培训 绩效奖金,20-30万/年,12-20
61c048af4de410b1db824fdd,上海-奉贤区5-7年经验本科招1人,上海弘正新能源科技有限公司,新能源,50-150人,https://jobs.51job.com/shanghai-fxq/136136351.html?s=sou_sou_soulb&t=0_0,JAVA 后台开发工程师（南京）,五险一金 交通补贴 餐饮补贴 通讯补贴 弹性工作 年终奖金 周末双休,1-2万/月,12-20
61c048af4de410b1db824fde,深圳-南山区1年经验本科招9人,深圳市汛信数字科技有限公司,计算机软件,少于50人,https://jobs.51job.com/shenzhen-nsq/134178531.html?s=sou_sou_soulb&t=0_0,急+前端研发工程师/双休,五险一金 补充公积金 通讯补贴 交通补贴 定期体检 年终奖金,0.8-1.5万/月,12-20
61c048af4de410b1db824fdf,上海-徐汇区3-4年经验本科招1人,上海华屹数码科技有限公司,计算机软件,150-500人,https://jobs.51job.com/shanghai-xhq/128138510.html?s=sou_sou_soulb&t=0_0,Python架构师,员工旅游 绩效奖金 定期体检 餐饮补贴 五险一金 年终奖金 通讯补贴 节日福利 周末双休 高温补贴,2.5-3万/月,12-20
61c048af4de410b1db824fe0,常州-溧阳市5-7年经验本科招3人,江苏集能易新能源技术有限公司,新能源,50-150人,https://jobs.51job.com/changzhou-lys/122122755.html?s=sou_sou_soulb&t=0_0,PHP高级开发工程师,五险一金 员工旅游 餐饮补贴 出国机会 通讯补贴,1-1.5万/月,12-20
61c048af4de410b1db824fe1,南京-浦口区5-7年经验大专招2人,美达贝壳（江苏）高新技术有限公司,计算机软件,,https://jobs.51job.com/nanjing-pkq/132526081.html?s=sou_sou_soulb&t=0_0,Java开发工程师（苏美达子公司）,五险一金 补充医疗保险 免费班车 餐饮补贴 专业培训 年终奖金 定期体检 团队氛围佳,1.2-1.8万/月,12-20
61c048af4de410b1db824fe2,济南-市中区无需经验大专招1人,青岛鑫点点信息网络技术有限公司,计算机软件,少于50人,https://jobs.51job.com/jinan-szq/133603209.html?s=sou_sou_soulb&t=0_0,数据库开发（济南）,五险一金 员工旅游 定期体检 带薪年假 年终奖金,3-5千/月,12-20
61c048af4de410b1db824fe3,珠海5-7年经验本科招2人,珠海黑石电气自动化科技有限公司,仪器仪表/工业自动化,50-150人,https://jobs.51job.com/zhuhai/121765739.html?s=sou_sou_soulb&t=0_0,嵌入式软件工程师,五险一金 员工旅游 专业培训 交通补贴 通讯补贴 年终奖金 绩效奖金 餐饮补贴,1-1.5万/月,12-20
61c048af4de410b1db824fe4,郑州-金水区3-4年经验本科招若干人,上海鸿辰信息科技有限公司,电子技术/半导体/集成电路,少于50人,https://jobs.51job.com/jinshuiqu/136192374.html?s=sou_sou_soulb&t=0_0,高级开发（Python/Java）,五险一金 餐饮补贴 年终奖金 绩效奖金 定期体检 专业培训 员工旅游,1-1.5万/月,12-20
61c048af4de410b1db824fe5,广州-天河区5-7年经验本科招2人,广州趣米网络科技有限公司,互联网/电子商务,150-500人,https://jobs.51job.com/guangzhou-thq/130194717.html?s=sou_sou_soulb&t=0_0,Java高级开发工程师,五险一金 员工旅游 通讯补贴 年度体检,1.5-2.2万/月,12-20
61c048af4de410b1db824fe6,上海-浦东新区3-4年经验本科招1人,上海明运信息科技有限公司,计算机软件,50-150人,https://jobs.51job.com/shanghai-pdxq/135567779.html?s=sou_sou_soulb&t=0_0,Java开发工程师,五险一金 定期体检 通讯补贴 年终奖金 交通补贴 带薪年假 带薪病假 节日津贴 高温津贴 年底双薪,1.5-2.5万/月,12-20
61c048af4de410b1db824fe7,北京-丰台区5-7年经验本科招若干人,维恩科仪（北京）机械自动化设备有限公司,仪器仪表/工业自动化,50-150人,https://jobs.51job.com/beijing-ftq/132064822.html?s=sou_sou_soulb&t=0_0,Java技术主管,弹性工作 带薪年假 五险一金 节日福利 补充医疗保险,1.5-3.5万/月,12-20
