lineName,time,price,campony,upline,downline
北京通77路公交车路线,运行时间：南堤寺村6:30-10:30、14:00-18:00|永乐店镇政府7:00-11:00、14:30-18:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),南堤寺村-永乐店镇-永乐店-永乐店卫生院-永乐店镇政府,永乐店镇政府-永乐店卫生院-永乐店-永乐店镇-南堤寺村
北京通75路公交车路线,运行时间：贾后疃6:30-10:30、14:00-18:00|甘棠7:00-11:00、14:30-18:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),贾后疃-东前营-前疃村-武疃村-甘棠,甘棠-武疃村-前疃村-东前营-贾后疃
北京通63路公交车路线,运行时间：古庄6:00-19:30|隆盛工业园6:30-20:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),古庄-漷马路口-留民营路口-西店环岛-马驹桥商业街-马驹桥邮局-马驹桥北门口-马驹桥新桥-凉水河桥北-永昌南路-景园街西口-地铁荣昌东街站-隆盛工业园,隆盛工业园-地铁荣昌东街站-景园街西口-永昌南路-凉水河桥北-马驹桥新桥-马驹桥北门口-马驹桥邮局-马驹桥商业街-西店环岛-留民营路口-漷马路口-古庄
北京通54路公交车路线,运行时间：金桥产业园区5:40-9:15、16:30-19:30|同济南路地铁站6:15-9:45、17:00-20:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),金桥产业园区-小周易村-大周易村西口-通州温馨家园-合生世界村-小白村-金桥小学-马驹桥一号桥(样本小区)-兴华南街-通州第二医院-凉水河桥北-地铁同济南路站,地铁同济南路站-凉水河桥北-通州第二医院-兴华南街-马驹桥一号桥(样本小区)-金桥小学-小白村-合生世界村-通州温馨家园-大周易村西口-小周易村-金桥产业园区
北京通61路公交车路线,运行时间：通州辛店6:00-10:00、15:00-19:00|运河明珠家园6:30-10:30、15:30-20:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),通州辛店-喇嘛村南口-小堡村路口-小堡村西口-疃里二区-疃里一区-疃里新村-潞邑西路-小潞邑北站-小潞邑-耿庄桥北-耿庄桥南-水仙西路北口-水仙西路-运河湾小区-运河明珠家园,运河明珠家园-运河湾小区-水仙西路-水仙西路北口-耿庄桥南-耿庄桥北-小潞邑-小潞邑北站-潞邑西路-疃里新村-疃里一区-疃里二区-小堡村西口-小堡村路口-喇嘛村南口-通州辛店
北京通58路公交车路线,运行时间：环湖小区6:10-9:30、16:00-19:40|地铁东夏园站6:30-9:50、16:20-20:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),环湖小区-环湖小区东门-环湖小区北口-张梁路口东-通州张辛庄-梁各庄-张辛庄村东-运河森林公园西门-地铁东夏园站,地铁东夏园站-运河森林公园西门-张辛庄村东-梁各庄-通州张辛庄-张梁路口东-环湖小区北口-环湖小区东门-环湖小区
北京通51路公交车路线,运行时间：西马庄小学6:00-9:30、16:00-19:30|地铁通州北苑站6:20-9:50、16:20-20:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),西马庄小学-西马庄村-竹木厂小区北门-竹木厂小区南门-西马庄南门-通州西门路口北-地铁通州北苑站,地铁通州北苑站-通州西门路口北-西马庄南门-竹木厂小区南门-竹木厂小区北门-西马庄村-西马庄小学
北京通52路公交车路线,运行时间：李庄佳苑6:00-10:00、17:00-20:30|地铁通州北关站6:30-10:30、17:30-21:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),李庄佳苑-苏坨新村-友谊医院通州院区-耿庄桥北-地铁通州北关站,地铁通州北关站-岳庄-皇木厂-通州北关-友谊医院通州院区-苏坨新村-李庄佳苑
北京通50路公交车路线,运行时间：张家湾凉水河桥北6:30、7:30、8:30、16:00、17:00、18:00|地铁梨园站7:00、8:00、9:00、16:30、17:30、18:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),张家湾凉水河桥北-张梁路口-张家湾中心小学-北许场新村-张家湾镇政府-张家湾开发区-北许场村-土桥新桥东-土桥欣村-土桥村-地铁土桥站-地铁临河里站(小街村南口)-通州小街桥东-地铁梨园站,地铁梨园站-通州小街桥东-地铁临河里站(小街村南口)-地铁土桥站-土桥村-土桥欣村-土桥新桥东-北许场村-张家湾开发区-张家湾镇政府-北许场新村-张家湾中心小学-张梁路口-张家湾凉水河桥北
北京通49路公交车路线,运行时间：六合新村6:00-10:00、16:00-20:00|运河明珠家园6:30-10:30、16:30-20:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),通州六合新村-小堡村南口-通州宋庄-后夏公庄-前夏邢各庄-丁各庄-召里-通州胡各庄-胡各庄乡政府-通州古城-霍屯村-武夷花园-三元村-水仙西路北口-水仙西路-运河湾小区-运河明珠家园,运河明珠家园-运河湾小区-水仙西路-水仙西路北口-三元村-武夷花园-霍屯村-通州古城-胡各庄乡政府-通州胡各庄-召里-丁各庄-前夏邢各庄-后夏公庄-通州宋庄-小堡村南口-通州六合新村
